,Unnamed: 0,Random_Id,data,date_iso8601,event_color,event_date,event_name,formatted_date,instance_question_id,instructor_question_number,qid,question_id,student_question_number,submission_id,variant_id,variant_number
0,0,181,,2020-10-17T00:14:04-07,gray3,2020-10-17T07:14:04.110Z,Begin,2020-10-17 00:14:04 (PDT),,,,,,,,
1,1,181,,2020-10-17T00:14:04-07,green1,2020-10-17T07:14:04.165Z,View assessment overview,2020-10-17 00:14:04 (PDT),,,,,,,,
2,2,181,"{'params': {}, 'options': {}, 'true_answer': {}, 'variant_seed': 'etvi2j'}",2020-10-17T00:14:09-07,gray1,2020-10-17T07:14:09.044Z,New variant,2020-10-17 00:14:09 (PDT),103671.0,1.0,PLEDGE,1046.0,1.0,,70120.0,1.0
3,3,181,,2020-10-17T00:14:09-07,green3,2020-10-17T07:14:09.086Z,View variant,2020-10-17 00:14:09 (PDT),103671.0,1.0,PLEDGE,1046.0,1.0,,70120.0,1.0
4,4,181,"{'correct': True, 'submitted_answer': {'pledge': 'Yolanda Shen'}}",2020-10-17T00:14:18-07,blue3,2020-10-17T07:14:18.184Z,Submission,2020-10-17 00:14:18 (PDT),103671.0,1.0,PLEDGE,1046.0,1.0,109165.0,70120.0,1.0
5,5,181,,2020-10-17T00:14:18-07,green3,2020-10-17T07:14:18.272Z,View variant,2020-10-17 00:14:18 (PDT),103671.0,1.0,PLEDGE,1046.0,1.0,,70120.0,1.0
6,6,181,"{'params': {}, 'options': {}, 'true_answer': {}, 'variant_seed': 'xutszq'}",2020-10-17T00:14:21-07,gray1,2020-10-17T07:14:21.048Z,New variant,2020-10-17 00:14:21 (PDT),103672.0,2.0,SURVEY,1372.0,2.0,,70121.0,1.0
7,7,181,,2020-10-17T00:14:21-07,green3,2020-10-17T07:14:21.089Z,View variant,2020-10-17 00:14:21 (PDT),103672.0,2.0,SURVEY,1372.0,2.0,,70121.0,1.0
8,8,181,"{'correct': True, 'submitted_answer': {'survey': 'Turing'}}",2020-10-17T00:14:27-07,blue3,2020-10-17T07:14:27.949Z,Submission,2020-10-17 00:14:27 (PDT),103672.0,2.0,SURVEY,1372.0,2.0,109166.0,70121.0,1.0
9,9,181,,2020-10-17T00:14:28-07,green3,2020-10-17T07:14:28.046Z,View variant,2020-10-17 00:14:28 (PDT),103672.0,2.0,SURVEY,1372.0,2.0,,70121.0,1.0
10,10,181,"{'params': {'t': [{'key': 'a', 'html': 'You can avoid having an information footprint by staying offline.'}, {'key': 'b', 'html': 'Thankfully, there are many entities (e.g., the government, your school, your employer, your bank, etc.) looking out for your privacy, so you don’t have to actively maintain it.'}, {'key': 'c', 'html': 'You can avoid having an information footprint simply by not going online.'}, {'key': 'd', 'html': 'The online world and the real world are different, so as long as your username doesn’t tell anything about you, you don’t put anything about yourself in your online “profile” (e.g., photo, address, etc), and what you post isn’t connected to you, you can safely remain anonymous online'}, {'key': 'e', 'html': 'None of the above'}]}, 'options': {}, 'true_answer': {'t': {'key': 'e', 'html': 'None of the above'}}, 'variant_seed': 'el3r3r'}",2020-10-17T00:14:29-07,gray1,2020-10-17T07:14:29.266Z,New variant,2020-10-17 00:14:29 (PDT),103673.0,3.0,lecture/privacy,1029.0,3.0,,70122.0,1.0
11,11,181,,2020-10-17T00:14:29-07,green3,2020-10-17T07:14:29.310Z,View variant,2020-10-17 00:14:29 (PDT),103673.0,3.0,lecture/privacy,1029.0,3.0,,70122.0,1.0
12,12,181,"{'params': {'0': [{'key': 'a', 'html': 'Functional programming is the most powerful'}, {'key': 'b', 'html': 'Proving algorithms are <i>correct</i> is easy'}, {'key': 'c', 'html': 'Algorithms can be worth <i>billions</i> of $'}, {'key': 'd', 'html': 'Python is considered Turing Complete because it can be used to write a programming language.'}, {'key': 'e', 'html': 'None of the above'}]}, 'options': {}, 'true_answer': {'0': {'key': 'c', 'html': 'Algorithms can be worth <i>billions</i> of $'}}, 'variant_seed': 'wgpjsn'}",2020-10-17T00:15:58-07,gray1,2020-10-17T07:15:58.507Z,New variant,2020-10-17 00:15:58 (PDT),103674.0,4.0,lecture/algorithms,1373.0,4.0,,70125.0,1.0
13,13,181,,2020-10-17T00:15:58-07,green3,2020-10-17T07:15:58.547Z,View variant,2020-10-17 00:15:58 (PDT),103674.0,4.0,lecture/algorithms,1373.0,4.0,,70125.0,1.0
